reader	boundary_artifact	reads	writes_back	evidence	assert_after_refactor
COLAUpliftHandler	COLA_Uplift_Rules__mdt	MasterLabel,Solution_Category__c,Default_Uplift_Percent__c,Is_Active__c,Effective_Start/End_Date__c WHERE Is_Active__c=true	COLA_Uplift_Percent__c,Default_COLA_Uplift_Percent__c	COLAUpliftHandler.cls:378	same query+key(Solution_Category__c)
COLAUpliftPrehook	COLA_Uplift_Rules__mdt	same 7 fields WHERE Is_Active__c=true	COLACalculatedPrice__c	COLAUpliftPrehook.cls:867	duplicated loader (INV-29) — dedupe but keep read identical
COLAUpliftHandler/Prehook	MyCAP_Rules__mdt	getInstance('Global'): Is_Active__c,Default_Out_Year_Uplift_Percent__c	COLA_Outyear_Uplift_Percent__c (inline 3 fallback)	COLAUpliftHandler.cls:151	same singleton read
MaintenanceOrderDecompositionService	Maintenance_Rate__mdt	MaintenanceType__c,Rate__c (all rows)	derived NewMaint list/net	MaintenanceOrderDecompositionService.cls:622	rates MDT-sourced (NOT inline)
PartnerNetPricePosthook	Maintenance_Rate__mdt	MaintenanceType__c,Rate__c (all rows)	derived NewMaint on QLI/OrderItem	PartnerNetPricePosthook.cls:1988	duplicated loader (INV-29)
RegionalServicesPricingPrehook	Services_Regional_Pricing__mdt	Country__c,Country_Code__c,Multiplier__c WHERE Is_Active__c=true	RegionalNetUnitPrice__c/PrehookRSNetUnitPrice__c,Pre_Regional_Price__c	RegionalServicesPricingPrehook.cls:89	default 1.0 acceptable
Fortra_CurrencyConversionService	Currency_Conversion_Formula__mdt	Conversion_Rate__c OR Conversion_Formula__c(string) WHERE Is_Active__c=true	(none)	Fortra_CurrencyConversionService.cls:31	config-as-code: string parsed by applyFormula (INV-24)
AttributeVolumePricingPrehook	Attribute_Tier_Pricing_Storage__c	Product__c,Product_Selling_Model__c,Attribute_Name__c,Attribute_Value__c,Lower/Upper_Bound__c,Tier_Value__c,Multiplier__c,Price_Mode__c WHERE Product IN	Base_Price__c,Attribute_Price_Mode__c,Attribute_Multiplier_Pct__c	AttributeVolumePricingPrehook.cls:211	composite key Product|PSM|AttrName
QLDescriptionGeneratorPrehook	QL_Description_Attribute__mdt	Attribute_API_Name__c,Role__c,Sort_Order__c,Match_Value__c (active)	QuoteLineItem.Description	QLDescriptionGeneratorPrehook.cls:225	config-with-fallback to inline 9-list
Fortra_Quote_Reprice(flow)	Salesforce_Pricing_Discovery_Procedure	skipDiscovery=true	(orchestration)	Fortra_Quote_Reprice.flow-meta.xml:169	map-only; out of scope
HardwareAttributePricingPrehook	(INLINE — no MDT, D-14)	pGroup/user-tier/system-type tables hardcoded in Apex	Hardware pricing	HardwareAttributePricingPrehook.cls:48	Priority-A hardcode: candidate Hardware_Attribute_Pricing__mdt
CurrencySelectionService	(INLINE — no MDT, D-15)	14-entry country->currency map hardcoded	currency selection	CurrencySelectionService.cls:13	Priority-A hardcode
