ArticleID	TabID	ArticleParentID	ArticleCategoryID	ArticleTitle	ArticleTitleEncoded	ArticlePercentComplete	ArticleRating	ArticleViews	ArticleTypeID	ArticleLevelID	ArticleStatusID	ArticlePriorityID	ArticleAccessType	ArticleWorkFlowStepID	ArticleCreatedUserID	ArticleCreatedUsername	ArticleCreatedDate	ArticleModifiedUserID	ArticleModifiedUsername	ArticleModifiedDate	ArticleAssignedUserID	ArticleAssignedUsername	ArticleAssignedDate	ArticleSuggestedUserID	ArticleSuggestedUsername	ArticleSuggestedEmail	ArticleSuggestedDate	ArticleReportedUserID	ArticleReportedUsername	ArticleReportedDate	ArticleDueDate	ArticleReviewDate	ArticleExpiresDate	ArticlePassword	TotalRatings	AttachmentCount	CommentCount	RelatedLinkCount	RelatedArticleCount	TagCount	ArticleDownloadFile	ArticleDownloadLink	ArticleDownloadPassword	ArticleImageUrl	ArticleSettingsXML	ArticleVersion	ArticleMarkDown	ArticleIsMarkDown
10017	1	0	10	Can I configure EFT to run executables, batch files, and scripts automatically when specific events occur?	Can-I-configure-EFT-to-run-executables-batch-files-and-scripts-automatically-when-specific-events-oc	0	1	35901	7	0	0	0	1	0	2	GlobalSCAPE 5	2006-01-24 16:59:00.000	2	kmarsh	2024-07-22 16:04:26.927	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		15	0	0	0	0	0				https://kb.globalscape.com/Uploads/Images/DB_ExecuteCommand82.png	<?xml version='1.0' encoding='UTF-8'?><settings />	1.6		0
10018	1	0	10	Unable to authenticate users using AD or NTLM	Unable-to-authenticate-users-using-AD-or-NTLM	0	0	92033	7	0	0	0	1	0	0		2006-01-24 17:03:00.000	2	kmarsh	2024-05-08 19:02:02.883	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		8	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1.4		0
10022	1	0	10	TCP Firewall Port Guidelines	TCP-Firewall-Port-Guidelines	0	2	124658	7	0	0	0	1	0	2	GlobalSCAPE 5	2006-01-30 14:49:00.000	2	kmarsh	2024-05-08 20:20:02.337	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		52	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1.3		0
10023	1	0	10	Changing the ping interval between EFT and DMZ (Advanced Property)	Changing-the-ping-interval-between-EFT-and-DMZ-Advanced-Property	0	1	98005	4	0	0	0	1	0	2	GlobalSCAPE 5	2006-01-31 08:31:00.000	2	kmarsh	2024-08-20 18:21:46.990	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		11	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1.5		0
10027	1	0	10	SSL Security Levels and CuteFTP	SSL-Security-Levels-and-CuteFTP	0	0	67794	8	0	0	0	1	0	0		2006-02-02 12:27:00.000	2	kmarsh	2024-05-08 19:37:26.097	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		9	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1.1		0
10028	1	0	10	EFT - Using an Oracle database for authentication	EFT-Using-an-Oracle-database-for-authentication	0	1	66805	8	0	0	0	1	0	0		2006-02-02 12:29:00.000	2	kmarsh	2024-07-25 16:27:47.850	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		6	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1.4		0
10030	1	0	10	Problems mapping to virtual folders	Problems-mapping-to-virtual-folders	0	1	44445	7	0	0	0	1	0	2	GlobalSCAPE 5	2006-02-02 12:31:00.000	2	kmarsh	2024-05-08 15:53:41.253	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		18	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1.3		0
10032	1	0	10	Can EFT Server control processes on dissimilar platforms?	Can-EFT-Server-control-processes-on-dissimilar-platforms	0	1	34389	8	0	0	0	1	0	0		2006-02-02 12:34:00.000	2	kmarsh	2023-02-27 14:35:18.113	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		5	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1		0
10033	1	0	10	Can EFT Server support complex scheduling?	Can-EFT-Server-support-complex-scheduling	0	1	29688	8	0	0	0	1	0	0		2006-02-02 12:35:00.000	2	kmarsh	2023-02-27 14:35:27.803	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		3	0	1	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1		0
10034	1	0	10	Can EFT Server support very complex event driven processing?	Can-EFT-Server-support-very-complex-event-driven-processing	0	1	24075	8	0	0	0	1	0	0		2006-02-02 12:35:00.000	2	kmarsh	2023-02-27 14:35:35.913	0		NULL	0			NULL	0		NULL	NULL	NULL	NULL		3	0	0	0	0	0					<?xml version='1.0' encoding='UTF-8'?><settings />	1		0
