
===== SHEET: Sheet1 (18r x 4c) =====
BSI Notes	entitylogicalname	RelatedEntities	LookupFields
Junction between hierarchy products and accounts. Shows, at a high level, what a customer owns without having to look through the list of all products owned. (more recent)	hs_accountproductfamily	account, product	hs_account, hs_productfamily
Junction between Softare Product Masters. Shows, at a high level, what a customer owns without having to look through the list of all products owned. (legacy, but still used.  These are the relationships used before we had a true product hierarchy)	hs_accountproductgroups	account, hs_productline, hs_productbrand, account, hs_softwareproductmaster	hs_account, hs_currentproductdownloadset, hs_productbrand, hs_reseller, hs_softwareproductmaster
Junction between one or more predefined competitor  and account	hs_associatedcompetitor	hs_brandaccount, competitor, contact	hs_brandaccount, hs_competitor, hs_pointofcontact
Junction between contacts and related accounts. Defines persone, role, and any key attributes	hs_associatedcontact	account, hs_brandaccount, contact, hs_productbrand, organization	hs_account, hs_brandaccount, hs_contact, hs_productbrand, organizationid
Junction between partner account and lead through invoice.  Defines one ore more partners, their role, and primary billing	hs_associatedpartner	invoice, lead, opportunity, salesorder, account, quote	hs_invoiceid, hs_leadid, hs_opportunityid, hs_orderid, hs_partnerid, hs_quoteid
These relationships are used to allow for a dynamic set of reusable questions to be prented to a customer when entering cases on the support portal. Questions can be different based on product selected, and "next question" can be determined by the answer to the previous question.	hs_caseansweroptiondefinition	hs_casequestiondefinition, organization	hs_casequestiondefinition, organizationid
These relationships are used to allow for a dynamic set of reusable questions to be prented to a customer when entering cases on the support portal. Questions can be different based on product selected, and "next question" can be determined by the answer to the previous question.	hs_casequestionanswerresponse	hs_casequestioncriteria, incident, hs_casequestiondefinition	hs_casequestioncriteria, hs_incident, hs_question
These relationships are used to allow for a dynamic set of reusable questions to be prented to a customer when entering cases on the support portal. Questions can be different based on product selected, and "next question" can be determined by the answer to the previous question.	hs_casequestioncriteria	hs_casequestiondefinition, hs_caseansweroptiondefinition, product, hs_casequestiondefinition, subject, organization	hs_parentquestion, hs_parentquestionsoptionanswer, hs_product, hs_question, hs_subject, organizationid
Junction between hierarchy producst and opportunities.  Allows for multiple product lines to be summarized on an opp, with their name and total value. This build from the individual opportunity product lines.	hs_opportunityproductsummary	opportunity, product, transactioncurrency	hs_opportunity, hs_productfamily, transactioncurrencyid
Junction between accounts used for partner portal acesss. This related accounts to each other so that when logged into the Partner Portal, a partner can select to see related records from other accounts.  I don't think this is needed in the new portal.	hs_portalswitcheraccount	account, contact	hs_account, hs_contact
Used for bundle definations in D365/Experlogix.  May not be needed in RCA	hs_productbundlepriceditem	product, product, organization	hs_bundleproduct, hs_lineproduct, organizationid
Junction between Product Masters and leads/opps.	hs_productsofinterest	campaignresponse, lead, opportunity, product, hs_productmaster, hs_softwareproductmaster	hs_campaignresponse, hs_lead, hs_opportunity, hs_product, hs_productmaster, hs_softwareproduct
Junction between contacts and projects. Used to define multiple customer contacts who are involved in a project	hs_projectcontact	contact, hs_projects	hs_contact, hs_project
Junction between users and accounts.  Used to define Fortra roles on an account, Account Executive, CSM Manager, etc.	hs_team_members	account, hs_productbrand,systemuser	hs_account, hs_productbrand
These junctions are used to define how downloads for Fortra products are shown and made available in the custome portal. This will probably be very different in the new Fotra Salesforce portal.	hsp_downloadpage	product, hs_productbrand, hsp_downloadpage	hs_portalproduct, hs_productbrand, hs_samedownloadsetsas
These junctions are used to define how downloads for Fortra products are shown and made available in the custome portal. This will probably be very different in the new Fotra Salesforce portal.	hs_downloadlinkintersect	hsp_downloadpage, hsp_downloadpagelink	hs_downloadpage, hs_downloadpagelink
These junctions are used to define how downloads for Fortra products are shown and made available in the custome portal. This will probably be very different in the new Fotra Salesforce portal.	hs_portalproductbranddownloadpagelinks	hsp_downloadpage, hs_productbrand	hs_downloadpage, hs_productbrand
