Class Name,Created By,Created Date,Last Modified By,Last Modified Date,Type,Purpose,How It's Used
AbaCurrencyCorrectionService,Liam Jeong,2026-07-09,Liam Jeong,2026-07-10,impl,"Localizes a non-USD line's raw USD net (snapshotted from the currency-blind Attribute-Based Adjustment decision table) into the line's currency using the static Finance-governed conversion rate, per-unit and idempotently.",Pure static service invoked by pricing-side Apex (posthook/order-path code) that reads QuoteLineItem/OrderItem.ABA_Raw_Net__c and calls AbaCurrencyCorrectionService.evaluate() to decide whether/how to write a localized Net/Unit price.
AbaCurrencyCorrectionServiceTest,Liam Jeong,2026-07-09,Liam Jeong,2026-07-10,test,"Unit test for AbaCurrencyCorrectionService covering per-unit scaling, provenance vs value-collision, idempotency, USD no-op, $0-PBE cohort, and unknown-currency fail-safe.","@isTest class; run by the Apex test runner, no callers."
AccessTokenGenerator,Joe Martinez,2026-01-27,Joe Martinez,2026-01-27,impl,Requests an OAuth access token from a Microsoft JWT named credential (used for DUNS integration) via an HTTP client-credentials callout.,Utility class with static method generateDunsToken() invoked by other Apex (e.g. DUNS integration classes) needing a bearer token.
AmendNetCarryPrehook,Liam Jeong,2026-07-09,Liam Jeong,2026-07-11,impl,"Pricing prehook that seeds the prior negotiated per-unit net (from QuoteAction.SourceAsset) onto Amend quote lines whose incoming NetUnitPrice is null/zero, before the pricing waterfall runs, and recomputes the line total cluster.","Registered as a RevSignaling.SignalingApexProcessor prehook via ProcedurePlanOption (PrimaryObject=Quote) on the pricing procedure, invoked automatically during Quote pricing/repricing for Amend transactions."
AmendNetCarryPrehookTest,Liam Jeong,2026-07-09,Liam Jeong,2026-07-11,test,"Unit tests for AmendNetCarryPrehook's pure seams (buildAmendSeedUpdate, extractQueryResult, seedAmendNets) since the full execute() path needs a live pricing context.","@isTest class; run by the Apex test runner, no callers."
AppException,Liam Jeong,2026-07-09,Liam Jeong,2026-07-10,impl,"Base virtual Exception class for intentional, catchable domain-specific errors thrown by Fortra Apex, distinguishable from swallowed system exceptions.",Extended by other custom exception classes throughout the codebase; caught/classified by logging utilities via instanceof checks.
AssetArrFromOrderItemHandler,Liam Jeong,2026-07-08,Liam Jeong,2026-07-10,impl,"Copies the source OrderItem's Order_Line_ARR__c onto Asset.ARR__c after Asset creation/update, replacing a deprecated flow, traversing Asset->AssetAction->AssetActionSource->OrderItem.",Static method copyArrFromOrderItem() called from an Asset trigger handler (after insert/update) with a static recursion guard to avoid re-firing on its own Asset update.
AssetArrFromOrderItemHandlerTest,Liam Jeong,2026-07-08,Liam Jeong,2026-07-10,test,"Unit test for AssetArrFromOrderItemHandler verifying ARR copy from OrderItem to Asset via the AssetAction/AssetActionSource chain, and no-op when no link exists.","@isTest class; run by the Apex test runner, no callers."
AssetContractLinkerAction,Marc DeBrey,2026-02-07,Marc DeBrey,2026-02-07,impl,"Creates AssetContractRelationship records linking Assets generated from an Order to the Order's Contract (and ensures the Contract has an RLM AppUsageAssignment), skipping Assets that already have an ACR.",@InvocableMethod (linkAssetsToContract) called from the Fortra_Assetize_Order flow after createOrUpdateAssetFromOrder.
AssetContractLinkerActionTest,Marc DeBrey,2026-02-07,Marc DeBrey,2026-02-07,test,"Unit tests for AssetContractLinkerAction covering no-contract, no-assets, ACR creation, existing-ACR skip, and AUA auto-creation scenarios.","@IsTest class; run by the Apex test runner, no callers."
