67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:39:00.0 (878548)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:39:00.0 (1006586)|EXECUTION_STARTED
19:39:00.0 (1034904)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:39:00.0 (1830435)|CODE_UNIT_FINISHED|Flow:Quote
19:39:00.0 (1855229)|EXECUTION_FINISHED
19:39:00.10 (10085022)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:39:00.10 (10118096)|EXECUTION_STARTED
19:39:00.10 (10145740)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:39:00.10 (10198144)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:39:00.10 (10245489)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:39:00.10 (10511410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:39:00.10 (11606607)|HEAP_ALLOCATE|[95]|Bytes:3
19:39:00.10 (11644292)|HEAP_ALLOCATE|[100]|Bytes:152
19:39:00.10 (11656110)|HEAP_ALLOCATE|[417]|Bytes:408
19:39:00.10 (11666884)|HEAP_ALLOCATE|[430]|Bytes:408
19:39:00.10 (11684586)|HEAP_ALLOCATE|[317]|Bytes:6
19:39:00.10 (11702525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:39:00.10 (11718689)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:39:00.10 (11844210)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x411c985
19:39:00.10 (11884648)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:39:00.10 (11901301)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:39:00.10 (11923911)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x411c985
19:39:00.10 (11928450)|STATEMENT_EXECUTE|[4]
19:39:00.10 (11944484)|HEAP_ALLOCATE|[68]|Bytes:5
